P_atm,T_K,Bg,Bc,hw_MJkg
0.01,2000,0,1.748570e-01,6.418260e-01
0.01,2000,0.02,1.765150e-01,6.601790e-01
0.01,2000,0.04,1.776680e-01,6.635210e-01
0.01,2000,0.07,1.792410e-01,6.641810e-01
0.01,2000,0.1,1.807260e-01,6.626480e-01
0.01,2000,0.15,1.831020e-01,6.579500e-01
0.01,2000,0.2,1.854020e-01,6.520400e-01
0.01,2000,0.25,1.876550e-01,6.456460e-01
0.01,2000,0.32,1.907540e-01,6.364850e-01
0.01,2000,0.4,1.942390e-01,6.261810e-01
0.01,2000,0.5,1.985370e-01,6.139130e-01
0.01,2000,0.6,2.027860e-01,6.024760e-01
0.01,2000,0.7,2.069990e-01,5.918900e-01
0.01,2000,0.8,2.111830e-01,5.821120e-01
0.01,2000,0.9,2.153440e-01,5.730830e-01
0.01,2000,1,2.194850e-01,5.647340e-01
0.01,2000,1.2,2.277180e-01,5.498240e-01
0.01,2000,1.5,2.399750e-01,5.311180e-01
0.01,2000,1.9,2.561930e-01,5.112720e-01
0.01,2000,2.4,2.763220e-01,4.921660e-01
0.01,2000,3,3.003280e-01,4.748120e-01
0.01,2000,4,3.400920e-01,4.542160e-01
0.01,2000,5.5,3.993580e-01,4.341660e-01
0.01,2000,7.5,4.779320e-01,4.175610e-01
0.01,2000,10,5.756920e-01,4.046430e-01
0.01,3000,0,2.462070e-01,3.665700e+00
0.01,3000,0.02,2.523950e-01,3.979320e+00
0.01,3000,0.04,2.584230e-01,4.270990e+00
0.01,3000,0.07,2.672220e-01,4.674220e+00
0.01,3000,0.1,2.757870e-01,5.043130e+00
0.01,3000,0.15,2.896580e-01,5.596330e+00
0.01,3000,0.2,3.031400e-01,6.087360e+00
0.01,3000,0.25,3.163210e-01,6.528250e+00
0.01,3000,0.32,3.343800e-01,7.077200e+00
0.01,3000,0.4,3.545800e-01,7.625950e+00
0.01,3000,0.5,3.793260e-01,8.218910e+00
0.01,3000,0.6,4.036370e-01,8.730350e+00
0.01,3000,0.7,4.276040e-01,9.176920e+00
0.01,3000,0.8,4.512920e-01,9.570760e+00
0.01,3000,0.9,4.747470e-01,9.921040e+00
0.01,3000,1,4.980040e-01,1.023480e+01
0.01,3000,1.2,5.440270e-01,1.077400e+01
0.01,3000,1.5,6.121020e-01,1.141740e+01
0.01,3000,1.9,7.015540e-01,1.206540e+01
0.01,3000,2.4,8.118650e-01,1.265940e+01
0.01,3000,3,9.426710e-01,1.317570e+01
0.01,3000,4,1.158060e+00,1.376100e+01
0.01,3000,5.5,1.477130e+00,1.430200e+01
0.01,3000,7.5,1.897830e+00,1.472740e+01
0.01,3000,10,2.418940e+00,1.504250e+01
0.01,3400,0,2.000000e+02,3.018200e+01
0.01,3400,0.02,2.000000e+02,3.018150e+01
0.01,3400,0.04,2.000000e+02,3.018100e+01
0.01,3400,0.07,2.000000e+02,3.018020e+01
0.01,3400,0.1,2.000000e+02,3.017940e+01
0.01,3400,0.15,2.000000e+02,3.017810e+01
0.01,3400,0.2,2.000000e+02,3.017680e+01
0.01,3400,0.25,2.000000e+02,3.017550e+01
0.01,3400,0.32,2.000000e+02,3.017360e+01
0.01,3400,0.4,2.000000e+02,3.017160e+01
0.01,3400,0.5,2.000000e+02,3.016890e+01
0.01,3400,0.6,2.000000e+02,3.016630e+01
0.01,3400,0.7,2.000000e+02,3.016370e+01
0.01,3400,0.8,2.000000e+02,3.016110e+01
0.01,3400,0.9,2.000000e+02,3.015840e+01
0.01,3400,1,2.000000e+02,3.015580e+01
0.01,3400,1.2,2.000000e+02,3.015060e+01
0.01,3400,1.5,2.000000e+02,3.014270e+01
0.01,3400,1.9,2.000000e+02,3.013210e+01
0.01,3400,2.4,2.400000e+02,3.014980e+01
0.01,3400,3,3.000000e+02,3.017000e+01
0.01,3400,4,4.000000e+02,3.018980e+01
0.01,3400,5.5,5.500000e+02,3.020580e+01
0.01,3400,7.5,7.500000e+02,3.021700e+01
